Hora,LOG M2,LOG M3
11:21:12.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:13.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:14.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:15.406,1.5609536227558388e-12,1.7077724374801805e-12
11:21:16.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:17.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:19.062,1.5609536227558388e-12,1.7077724374801805e-12
11:21:19.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:20.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:21.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:22.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:23.406,1.5609536227558388e-12,1.7077724374801805e-12
11:21:24.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:25.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:26.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:27.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:28.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:29.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:30.453,1.5609536227558388e-12,1.7077724374801805e-12
11:21:31.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:32.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:33.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:34.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:35.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:36.406,1.5609536227558388e-12,1.7077724374801805e-12
11:21:37.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:38.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:39.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:40.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:41.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:42.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:43.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:44.453,1.5609536227558388e-12,1.7077724374801805e-12
11:21:45.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:46.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:47.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:49.078,1.5609536227558388e-12,1.7077724374801805e-12
11:21:49.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:50.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:51.453,1.5609536227558388e-12,1.7077724374801805e-12
